City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
336,castillos,-34.1667,-53.8333,28.44,50,2,5.78,UY,1707240206
337,port douglas,-16.4833,145.4667,26.88,83,100,0.61,AU,1707240497
338,grand baie,-20.0182,57.5802,26.92,75,8,1.79,MU,1707240497
339,kuraymah,18.55,31.85,18.67,16,22,5.49,SD,1707240497
340,mitu,1.1983,-70.1733,22.92,99,100,1.01,CO,1707240497
341,broome,42.2506,-75.833,3.27,61,0,2.57,US,1707240300
342,wakkanai,45.4094,141.6739,-8.28,86,96,1.79,JP,1707240498
343,salinopolis,-0.6136,-47.3561,29.15,75,27,6.1,BR,1707240498
344,robore,-18.3333,-59.75,33.05,58,40,2.06,BO,1707240498
345,bardai,11.65,7.2333,26.73,14,43,6.08,NG,1707240499
346,shalqar,47.8333,59.6,0.06,84,100,12.01,KZ,1707240499
347,arraial do cabo,-22.9661,-42.0278,29.98,74,20,5.66,BR,1707240499
348,le port,-20.9373,55.2919,25.98,75,55,2.85,RE,1707240499
349,obo,5.3998,26.4869,28.06,22,4,2.44,CF,1707240500
350,murrells inlet,33.551,-79.0414,12.83,46,40,9.77,US,1707240500
351,al hawatah,13.4167,34.6333,28.26,23,86,5.71,SD,1707240500
352,sansanne-mango,10.3592,0.4708,35.8,9,67,4.09,TG,1707240501
353,saint-pol-de-leon,48.6833,-3.9833,13.35,82,100,6.69,FR,1707240501
354,tralee,52.2704,-9.7026,6.14,100,100,2.57,IE,1707240501
355,nikol'sk,53.7189,46.0712,-10.65,94,100,6.34,RU,1707240501
356,bhisho,-32.8472,27.4422,22.35,73,63,4.65,ZA,1707240502
357,hammerfest,70.6634,23.6821,-3.75,86,100,7.2,NO,1707240405
358,chernomorskoye,45.5039,32.6997,8.34,82,99,7.41,UA,1707240502
